iter	RMSE
0	1.122073792
1	1.092623593
2	1.065609581
3	1.038904291
4	1.014452842
5	0.9912108003
6	0.9684859946
7	0.9473814928
8	0.9276947703
9	0.9080292555
10	0.8901207022
11	0.8727245331
12	0.8573868515
13	0.8426469633
14	0.8287409961
15	0.8154888148
16	0.8028282887
17	0.7917422547
18	0.7810484176
19	0.7702257737
20	0.7611502607
21	0.7517587837
22	0.7435985589
23	0.7337130262
24	0.7260698409
25	0.7187761545
26	0.7122577829
27	0.7054980227
28	0.6976049132
29	0.6915154006
30	0.6865836577
31	0.6807534756
32	0.6762642808
33	0.6720299428
34	0.6657023842
35	0.6616933291
36	0.6566231213
37	0.6529619577
38	0.6473756299
39	0.6431941014
40	0.639226432
41	0.6362771336
42	0.6325643723
43	0.6294175138
44	0.6266170247
45	0.6240359687
46	0.620649155
47	0.6176450184
48	0.6154092712
49	0.613438362
50	0.6100167452
51	0.6076283028
52	0.6040624481
53	0.6020981568
54	0.5997227023
55	0.5978721399
56	0.5956751041
57	0.5930788059
58	0.5916990912
59	0.5901940895
60	0.5882753575
61	0.5868479698
62	0.5850780534
63	0.5828191351
64	0.5808556587
65	0.5798992391
66	0.5778383592
67	0.5762664532
68	0.574481698
69	0.5726483359
70	0.5717999048
71	0.5705128205
72	0.5694858329
73	0.568534347
74	0.5676233587
75	0.5660056113
76	0.5637589323
77	0.5621167756
78	0.5602705809
79	0.5588784779
80	0.5575252689
81	0.5565580878
82	0.555597624
83	0.554258239
84	0.5527202384
85	0.5513306815
86	0.5504911457
87	0.5499152373
88	0.5491150096
89	0.5487007291
90	0.5474214967
91	0.546548867
92	0.5457588355
93	0.5448699117
94	0.544012162
95	0.5428877181
96	0.5419808829
97	0.5411180952
98	0.5403420207
99	0.5393930375
100	0.5385184698
101	0.5379305682
102	0.5373412587
103	0.5366784276
104	0.5361074951
105	0.5355966774
106	0.5349581303
107	0.5343845649
108	0.5336310495
109	0.5329434952
110	0.5323674692
111	0.5319780716
112	0.5310532841
113	0.5303299205
114	0.5300167078
115	0.5294357382
116	0.5291059785
117	0.5285323176
118	0.5279710453
119	0.5276063922
120	0.5271891024
121	0.5268166776
122	0.5262477055
123	0.5257233846
124	0.5253876034
125	0.5247823406
126	0.5244768193
127	0.5240277924
128	0.5236504932
129	0.5232446465
130	0.5226084433
131	0.5221736699
132	0.5217430272
133	0.5208791458
134	0.5203806983
135	0.5198807421
136	0.5191211726
137	0.51875584
138	0.5183716331
139	0.5179964764
140	0.5169270391
141	0.5165438804
142	0.5158834312
143	0.5152966508
144	0.5147783015
145	0.5145604934
146	0.5141468643
147	0.5137174475
148	0.5134462699
149	0.5129712786
150	0.5124086193
151	0.5119888994
152	0.5116941554
153	0.5111409583
154	0.5106143791
155	0.5100805555
156	0.5096757381
157	0.5091928593
158	0.5086438056
159	0.5082869323
160	0.5080502288
161	0.5076735139
162	0.5073290958
163	0.5070412007
164	0.5063955033
165	0.5060194962
166	0.5056770461
167	0.5052641198
168	0.5048828507
169	0.50459232
170	0.5039369032
171	0.5033121644
172	0.5030949948
173	0.5027020375
174	0.5021181725
175	0.5018458909
176	0.5013955236
177	0.5011229933
178	0.5006980901
179	0.5002436264
180	0.499657256
181	0.4991251163
182	0.4988041221
183	0.498121349
184	0.4975126925
185	0.4971159906
186	0.4967715338
187	0.4962972484
188	0.4959191408
189	0.4952679101
190	0.4948461975
191	0.4945265807
192	0.4941208442
193	0.4938053609
194	0.4934788564
195	0.4929761739
196	0.4926695626
197	0.4918568295
198	0.4914129398
199	0.4910308937
200	0.4908043111
201	0.4904232872
202	0.4901451739
203	0.4898797363
204	0.4895150639
205	0.4889693361
206	0.4885582763
207	0.4883125552
208	0.488035654
209	0.4877541538
210	0.4874630192
211	0.4870471782
212	0.4868139878
213	0.4863846255
214	0.4861026921
215	0.4858098792
216	0.4855511834
217	0.4852324779
218	0.4849371168
219	0.4846897523
220	0.4844013789
221	0.4840329297
222	0.4838264722
223	0.4835215373
224	0.483163554
225	0.4828561784
226	0.482314072
227	0.4820243471
228	0.481497821
229	0.4812365939
230	0.4805554294
231	0.480310495
232	0.4801146405
233	0.4797377767
234	0.4793505391
235	0.4790024663
236	0.4786050457
237	0.4783867446
238	0.4777645667
239	0.4774914152
240	0.4770835085
241	0.4768761604
242	0.4764940646
243	0.4762543961
244	0.4757143149
245	0.475252663
246	0.4749580757
247	0.474673716
248	0.4743673052
249	0.4740817195
250	0.4737638943
251	0.4733753293
252	0.4731449209
253	0.4725437667
254	0.4723159889
255	0.4719490362
256	0.4716851815
257	0.4713634304
258	0.4710771053
259	0.470828669
260	0.470581232
261	0.470269306
262	0.4700226247
263	0.469822017
264	0.4695112469
265	0.4691759683
266	0.4689394242
267	0.4686966626
268	0.4684757393
269	0.4682315055
270	0.4680022313
271	0.4676192257
272	0.4673062437
273	0.467110869
274	0.4668973808
275	0.4666621805
276	0.4662123945
277	0.4658887698
278	0.4656261948
279	0.4654350446
280	0.4651888298
281	0.4650352701
282	0.4646892691
283	0.4643750862
284	0.464137316
285	0.463952328
286	0.4636798712
287	0.4634869961
288	0.4632937358
289	0.4629434437
290	0.4626318111
291	0.4621219044
292	0.4619092456
293	0.4616527782
294	0.4613455914
295	0.4611503326
296	0.4608578768
297	0.460606173
298	0.4603631406
299	0.4601220031
